Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1950;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1951;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1952;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1953;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1954;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1955;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1956;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1957;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1958;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1959;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1960;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1961;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1962;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1963;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1964;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1965;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1966;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1967;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1968;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1969;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1970;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1971;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1972;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1973;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1974;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1975;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1976;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1977;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1978;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1979;;
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1980;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1981;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1982;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1983;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1984;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1985;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1986;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1987;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1988;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1989;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1990;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1991;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1992;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1993;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1994;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1995;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1996;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1997;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1998;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1999;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2000;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2001;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2002;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2003;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2004;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2005;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2006;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2007;0.1717;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2008;0.1717;3.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2009;0.1785;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2010;0.1792;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2011;0.186;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2012;0.19;3.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2013;0.1873;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2014;0.1855;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2015;0.1848;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2016;0.1816;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2017;0.1779;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2018;0.1779;2.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2019;0.1779;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2020;0.1779;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2021;0.1779;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2022;0.1779;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2023;0.1779;1.0
Afghanistan ;"sptinc_p0p50_999_j_AF
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2024;0.1779;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1950;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1951;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1952;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1953;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1954;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1955;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1956;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1957;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1958;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1959;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1960;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1961;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1962;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1963;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1964;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1965;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1966;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1967;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1968;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1969;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1970;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1971;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1972;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1973;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1974;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1975;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1976;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1977;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1978;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1979;;
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1980;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1981;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1982;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1983;0.1948;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1984;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1985;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1986;0.1948;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1987;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1988;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1989;0.1949;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1990;0.195;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1991;0.1941;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1992;0.1929;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1993;0.1917;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1994;0.1905;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1995;0.1891;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1996;0.1891;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1997;0.1863;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1998;0.1867;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1999;0.1849;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2000;0.1849;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2001;0.183;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2002;0.1808;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2003;0.1816;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2004;0.1835;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2005;0.1852;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2006;0.1855;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2007;0.1889;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2008;0.1868;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2009;0.1911;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2010;0.1913;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2011;0.1904;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2012;0.1911;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2013;0.1797;2.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2014;0.1724;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2015;0.1765;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2016;0.1649;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2017;0.1706;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2018;0.1749;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2019;0.1832;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2020;0.1834;3.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2021;0.1794;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2022;0.1723;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2023;0.1776;1.0
Albania ;"sptinc_p0p50_999_j_AL
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2024;0.1776;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1950;0.1694;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1951;0.1673;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1952;0.166;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1953;0.1641;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1954;0.1625;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1955;0.1607;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1956;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1957;0.1568;3.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1958;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1959;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1960;0.1523;2.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1961;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1962;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1963;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1964;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1965;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1966;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1967;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1968;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1969;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1970;0.1523;2.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1971;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1972;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1973;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1974;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1975;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1976;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1977;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1978;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1979;;
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1980;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1981;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1982;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1983;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1984;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1985;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1986;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1987;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1988;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1989;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1990;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1991;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1992;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1993;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1994;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1995;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1996;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1997;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1998;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;1999;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2000;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2001;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2002;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2003;0.1508;1.0
Algeria ;"sptinc_p0p50_999_j_DZ
Pre-tax national income 
Bottom 50% | share | all ages | equal split
";p0p50;2004;0.1508;1.0
