Year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se,iso3,abs_red_source,pop,rgdpe,gdp_per_capita,Variable_Top20,Percentile_Top20,Value_Top20,DataQuality_Top20,Variable_Bottom50,Percentile_Bottom50,Value_Bottom50,DataQuality_Bottom50,Country,region
1950,,,,,,,,,ARG,,17.0902249666788,56066.51171875,3280.618706193988,,,,,,,,,Argentina,Latin America & Caribbean
1951,,,,,,,,,ARG,,17.4559449452828,58718.82421875,3363.8295951785676,,,,,,,,,Argentina,Latin America & Caribbean
1952,,,,,,,,,ARG,,17.8142998526244,53147.3828125,2983.4112624229983,,,,,,,,,Argentina,Latin America & Caribbean
1953,,,,,,,,,ARG,,18.1669185573674,55202.6796875,3038.637483466515,,,,,,,,,Argentina,Latin America & Caribbean
1954,,,,,,,,,ARG,,18.5154356301661,57792.71875,3121.326438349728,,,,,,,,,Argentina,Latin America & Caribbean
1955,,,,,,,,,ARG,,18.8614799396842,63132.42578125,3347.1618337021664,,,,,,,,,Argentina,Latin America & Caribbean
1956,,,,,,,,,ARG,,19.2039662070337,64723.91015625,3370.3407649480255,,,,,,,,,Argentina,Latin America & Caribbean
1957,,,,,,,,,ARG,,19.5418053519996,67724.3671875,3465.6146639271565,,,,,,,,,Argentina,Latin America & Caribbean
1958,,,,,,,,,ARG,,19.8766281439092,72930.5078125,3669.158938048962,,,,,,,,,Argentina,Latin America & Caribbean
1959,,,,,,,,,ARG,,20.2100672527532,69163.3515625,3422.2227317466222,,,,,,,,,Argentina,Latin America & Caribbean
1960,,,,,,,,,ARG,,20.5437515471954,74293.7578125,3616.3676162955967,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6173000000000001,2.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1447,2.0,Argentina,Latin America & Caribbean
1961,36.3,2.65,37.8,3.43,1.5,,0.03968253968253969,,ARG,derived,20.8771526427683,77830.71875,3728.0332276039576,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6193000000000001,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.142,3.0,Argentina,Latin America & Caribbean
1962,36.1,2.53,37.8,3.32,1.6999999999999957,,0.04497354497354487,,ARG,derived,21.2091852605842,74166.7265625,3496.915400156069,,,,,,,,,Argentina,Latin America & Caribbean
1963,36.0,2.39,37.7,3.24,1.7000000000000028,,0.045092838196286546,,ARG,derived,21.5406400766804,73608.4140625,3417.187873733959,,,,,,,,,Argentina,Latin America & Caribbean
1964,35.9,2.34,37.7,3.19,1.8000000000000043,,0.047745358090185784,,ARG,derived,21.872313469085,78562.5390625,3591.8714850874235,,,,,,,,,Argentina,Latin America & Caribbean
1965,35.9,2.26,37.7,3.11,1.8000000000000043,,0.047745358090185784,,ARG,derived,22.2049999151625,90604.4765625,4080.3637427907165,,,,,,,,,Argentina,Latin America & Caribbean
1966,35.9,2.25,37.7,3.07,1.8000000000000043,,0.047745358090185784,,ARG,derived,22.5323530993144,90113.4140625,3999.2899838429175,,,,,,,,,Argentina,Latin America & Caribbean
1967,35.8,2.22,37.8,3.01,2.0,,0.052910052910052914,,ARG,derived,22.8538427364096,94126.8515625,4118.64440690063,,,,,,,,,Argentina,Latin America & Caribbean
1968,35.9,2.15,37.9,2.94,2.0,,0.052770448548812667,,ARG,derived,23.1789873495146,96810.046875,4176.629695474049,,,,,,,,,Argentina,Latin America & Caribbean
1969,35.9,2.02,37.9,2.85,2.0,,0.052770448548812667,,ARG,derived,23.5173092630226,105260.90625,4475.890718310483,,,,,,,,,Argentina,Latin America & Caribbean
1970,35.9,1.83,37.9,2.72,2.0,,0.052770448548812667,,ARG,derived,23.878327,107366.7109375,4496.408435042372,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6161,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1454,3.0,Argentina,Latin America & Caribbean
1971,35.7,1.8,37.9,2.71,2.1999999999999957,,0.05804749340369382,,ARG,derived,24.257208,112271.7265625,4628.386191951688,,,,,,,,,Argentina,Latin America & Caribbean
1972,35.5,1.71,37.8,2.66,2.299999999999997,,0.060846560846560774,,ARG,derived,24.644328,114951.609375,4664.424583823101,,,,,,,,,Argentina,Latin America & Caribbean
1973,35.4,1.64,37.8,2.64,2.3999999999999986,,0.06349206349206346,,ARG,derived,25.046005,121513.515625,4851.61268733277,,,,,,,,,Argentina,Latin America & Caribbean
1974,35.3,1.48,37.9,2.56,2.6000000000000014,,0.0686015831134565,,ARG,derived,25.461351,127194.9453125,4995.608650636802,,,,,,,,,Argentina,Latin America & Caribbean
1975,35.7,1.57,38.2,2.6,2.5,,0.06544502617801047,,ARG,derived,25.874107,125789.125,4861.58324227383,,,,,,,,,Argentina,Latin America & Caribbean
1976,36.1,1.62,38.6,2.65,2.5,,0.06476683937823834,,ARG,derived,26.282283,124168.2734375,4724.409726411514,,,,,,,,,Argentina,Latin America & Caribbean
1977,36.7,1.7,39.0,2.71,2.299999999999997,,0.058974358974358904,,ARG,derived,26.701805,128872.078125,4826.343317427417,,,,,,,,,Argentina,Latin America & Caribbean
1978,37.2,1.65,39.4,2.7,2.1999999999999957,,0.055837563451776547,,ARG,derived,27.132158,125265.7265625,4616.872958004299,,,,,,,,,Argentina,Latin America & Caribbean
1979,37.7,1.61,39.9,2.7,2.1999999999999957,,0.055137844611528715,,ARG,derived,27.568895,136675.578125,4957.600880448781,,,,,,,,,Argentina,Latin America & Caribbean
1980,38.2,1.49,40.3,2.67,2.0999999999999943,,0.052109181141439066,,ARG,derived,28.011596,144583.125,5161.545418547375,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1981,38.7,1.61,40.8,2.74,2.0999999999999943,,0.05147058823529398,,ARG,derived,28.463959,143491.5,5041.1645126385965,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1982,39.2,1.71,41.3,2.8,2.0999999999999943,,0.05084745762711851,,ARG,derived,28.924262,143783.4375,4971.0321908991145,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1983,39.6,1.73,41.7,2.82,2.1000000000000014,,0.05035971223021586,,ARG,derived,29.391332,157129.28125,5346.109568970879,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1984,40.1,1.68,42.1,2.8,2.0,,0.047505938242280284,,ARG,derived,29.863093,167900.78125,5622.350680487115,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1985,40.5,1.55,42.6,2.75,2.1,3.2,4.9,4.2,ARG,survey,30.336441,161122.28125,5311.1794244420435,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1986,41.0,1.32,43.0,2.64,2.0,3.0,4.7,4.0,ARG,survey,30.81198,183398.953125,5952.196292643316,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1987,41.6,1.25,43.5,2.61,1.9,2.9,4.4,3.9,ARG,survey,31.291762,196997.28125,6295.499794802224,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1988,42.1,1.27,44.0,2.63,1.9,2.9,4.3,3.9,ARG,survey,31.780532,206498.9375,6497.6551525317445,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1989,42.5,1.33,44.4,2.65,1.9,3.0,4.3,4.0,ARG,survey,32.270948,203135.65625,6294.691319573259,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1990,42.7,1.29,44.7,2.64,2.0,2.9,4.5,3.9,ARG,survey,32.755901,218854.9375,6681.389637244293,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1991,42.8,1.2,45.0,2.57,2.2,2.8,4.9,3.8,ARG,survey,33.230294,262842.125,7909.714100031736,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1992,42.8,1.09,45.2,2.55,2.4,2.8,5.3,3.8,ARG,survey,33.693527,316084.5,9381.163925047085,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1993,43.0,1.13,45.5,2.56,2.5,2.8,5.5,3.8,ARG,survey,34.152717,363304.4375,10637.643778092384,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1994,43.6,1.15,46.0,2.58,2.4,2.8,5.2,3.8,ARG,survey,34.613491,424014.46875,12249.977003186415,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1995,44.3,1.16,46.5,2.6,2.2,2.8,4.7,3.8,ARG,survey,35.07002,470774.46875,13423.843748877247,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1996,44.9,1.17,47.0,2.61,2.1,2.9,4.5,3.9,ARG,survey,35.513793,609480.1875,17161.788026978702,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1997,45.5,1.15,47.5,2.61,2.0,2.9,4.2,3.9,ARG,survey,35.947791,631510.0,17567.421597616387,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1998,46.0,1.07,47.9,2.6,1.9,2.8,4.0,3.8,ARG,survey,36.37286,634181.0625,17435.55668979563,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
1999,46.4,1.12,48.2,2.62,1.8,2.8,3.7,3.8,ARG,survey,36.794682,594499.8125,16157.221103310527,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,1.0,Argentina,Latin America & Caribbean
2000,46.8,1.12,48.5,2.62,1.7,2.8,3.5,3.8,ARG,survey,37.213984,587599.9375,15789.76165250138,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6795,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0817,4.0,Argentina,Latin America & Caribbean
2001,47.2,1.11,48.7,2.61,1.5,2.8,3.1,3.8,ARG,survey,37.624825,548015.0,14565.250469603512,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6915,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0703,4.0,Argentina,Latin America & Caribbean
2002,47.1,1.1,48.5,2.61,1.4,2.8,2.9,3.8,ARG,survey,38.029349,507861.78125,13354.46949801849,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.7009000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.07,4.0,Argentina,Latin America & Caribbean
2003,46.5,1.1,48.0,2.6,1.5,2.8,3.1,3.8,ARG,survey,38.424282,535112.8125,13926.42320551364,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6615,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.0965,4.0,Argentina,Latin America & Caribbean
2004,45.5,1.11,47.3,2.57,1.8,2.8,3.8,3.8,ARG,survey,38.815916,576108.5,14842.068908022162,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6575000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1028,4.0,Argentina,Latin America & Caribbean
2005,44.5,1.1,46.5,2.53,2.0,2.8,4.3,3.8,ARG,survey,39.216789,615622.875,15697.941894222906,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6379,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1092,4.0,Argentina,Latin America & Caribbean
2006,43.5,1.08,45.6,2.5,2.1,2.7,4.6,3.7,ARG,survey,39.622115,674686.25,17028.022103312756,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6188,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1162,4.0,Argentina,Latin America & Caribbean
2007,42.4,1.1,44.7,2.48,2.3,2.7,5.1,3.7,ARG,survey,40.016763,745899.625,18639.67920143866,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6357,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1145,4.0,Argentina,Latin America & Caribbean
2008,41.5,1.11,44.0,2.45,2.5,2.7,5.7,3.6,ARG,survey,40.424148,801076.0625,19816.77047343088,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5903,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1284,4.0,Argentina,Latin America & Caribbean
2009,41.0,1.07,43.4,2.4,2.4,2.6,5.5,3.5,ARG,survey,40.854831,769368.0,18831.750888897328,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5933,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1221,4.0,Argentina,Latin America & Caribbean
2010,40.3,1.08,42.8,2.37,2.5,2.6,5.8,3.5,ARG,survey,41.288694,875177.1875,21196.53354741615,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5951000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1282,4.0,Argentina,Latin America & Caribbean
2011,39.6,1.07,42.2,2.31,2.6,2.5,6.2,3.4,ARG,survey,41.73066,982867.6875,23552.65139588015,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5742,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1366,4.0,Argentina,Latin America & Caribbean
2012,39.0,1.06,41.7,2.27,2.7,2.5,6.5,3.4,ARG,survey,42.161721,995111.1875,23602.243074944687,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5629000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1404,4.0,Argentina,Latin America & Caribbean
2013,38.6,1.08,41.2,2.31,2.6,2.6,6.3,3.5,ARG,survey,42.582455,998802.5625,23455.729889223152,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5704,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1397,4.0,Argentina,Latin America & Caribbean
2014,38.2,1.1,40.8,2.33,2.6,2.6,6.4,3.5,ARG,survey,43.024071,974450.6875,22648.965215309356,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5919,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1294,4.0,Argentina,Latin America & Caribbean
2015,38.0,1.17,40.6,2.35,2.6,2.6,6.4,3.5,ARG,survey,43.477012,1013187.75,23303.98763374079,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5894,2.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1312,2.0,Argentina,Latin America & Caribbean
2016,37.9,1.23,40.4,2.36,2.5,2.7,6.2,3.6,ARG,survey,43.900313,1013049.75,23076.139571032218,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5869,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1331,4.0,Argentina,Latin America & Caribbean
2017,37.9,1.13,40.3,2.32,2.4,2.6,6.0,3.5,ARG,survey,44.288894,1132228.5,25564.614460681725,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5889,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1346,4.0,Argentina,Latin America & Caribbean
2018,38.0,1.12,40.2,2.31,2.2,2.6,5.5,3.5,ARG,survey,44.654882,1174467.875,26300.996047867735,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5841000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1347,4.0,Argentina,Latin America & Caribbean
2019,38.1,1.14,40.1,2.33,2.0,2.6,5.0,3.5,ARG,survey,44.973465,1136796.75,25277.055036786693,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6041000000000001,4.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1266,4.0,Argentina,Latin America & Caribbean
2020,38.1,1.14,40.0,2.36,1.9,2.6,4.8,3.5,ARG,survey,45.191965,1059253.75,23438.984120296605,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6296,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1063,3.0,Argentina,Latin America & Caribbean
2021,38.0,1.13,39.9,2.38,1.9,2.6,4.8,3.5,ARG,survey,45.312281,1202829.375,26545.328296317726,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5940000000000001,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1322,3.0,Argentina,Latin America & Caribbean
2022,37.9,1.16,39.8,2.41,1.9,2.7,4.8,3.6,ARG,survey,45.407904,1276408.75,28109.836340386904,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.5984,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1326,3.0,Argentina,Latin America & Caribbean
2023,38.1,1.24,39.9,2.49,1.8,2.8,4.5,3.7,ARG,survey,45.538401,1250172.125,27453.140592266293,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6149,3.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1221,3.0,Argentina,Latin America & Caribbean
2024,38.4,1.41,40.0,2.63,1.6,3.0,4.0,4.0,ARG,survey,,,,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.6149,1.0,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.1221,1.0,Argentina,Latin America & Caribbean
1980,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3925,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2773,1.0,Armenia,Eastern Europe & FSU
1981,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3927,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2771,1.0,Armenia,Eastern Europe & FSU
1982,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3929,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2769,1.0,Armenia,Eastern Europe & FSU
1983,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3931,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2767,1.0,Armenia,Eastern Europe & FSU
1984,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3933,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2765,1.0,Armenia,Eastern Europe & FSU
1985,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3935,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2762,1.0,Armenia,Eastern Europe & FSU
1986,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3932,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2761,1.0,Armenia,Eastern Europe & FSU
1987,,,,,,,,,ARM,,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3928,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.276,1.0,Armenia,Eastern Europe & FSU
1988,30.0,1.79,44.0,3.12,14.0,,0.3181818181818182,,ARM,derived,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3925,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2758,1.0,Armenia,Eastern Europe & FSU
1989,30.0,1.69,44.2,2.99,14.200000000000003,,0.3212669683257919,,ARM,derived,,,,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3932,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2738,1.0,Armenia,Eastern Europe & FSU
1990,31.0,1.71,44.9,2.92,13.899999999999999,,0.30957683741648107,,ARM,derived,3.552128,26431.6875,7441.085315619257,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.3799,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2837,1.0,Armenia,Eastern Europe & FSU
1991,32.4,1.83,45.7,2.9,13.300000000000004,,0.2910284463894968,,ARM,derived,3.613977,23784.1953125,6581.169529440835,"sptinc_p80p100_999_j_AM
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,0.4194,1.0,"sptinc_p0p50_999_j_AM
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,0.2592,1.0,Armenia,Eastern Europe & FSU
